total,Site,substrate,Date,mean_height,Region
17380,BamfieldHatchery,bench,Sept 7 2012,2.889528878,outer_coast
17215,BamfieldHatchery,cobble,Sept 7 2012,2.862028878,outer_coast
2293,AquariumUkie1,bench,Aug 30 2012,3.299278574,outer_coast
2162,AquariumUkie1,bench,june 20 2012,3.196943412,outer_coast
1710,AquariumUkie2,cobble,Aug 30 2012,2.821566189,outer_coast
736,AquariumUkie2,cobble,june 20 2012,2.078464086,outer_coast
1422,AquariumUkie3,cobble,june 20 2012,2.566395713,outer_coast
17729,ToquartBay,bench,Aug 30 2012,2.923905376,outer_coast
13146,ToquartBay,cobble,Aug 30 2012,2.389081988,outer_coast
16987,ToquartBay1,bench,june 20 2012,2.814184191,outer_coast
17834,ToquartBay2,cobble,june 20 2012,2.938921518,outer_coast
18171,BiosphereTrustTofino,bench,Aug 30 2012,3.112284004,outer_coast
17709,BiosphereTrustTofino,bench,june 20 2012,3.049135325,outer_coast
18921,CrabInnTofino,bench,Aug 30 2012,3.233448466,outer_coast
16770,CrabInnTofino,bench,june 19 2012,2.901735548,outer_coast
14419,CrabInnTofino,cobble,Aug 30 2012,2.612274224,outer_coast
10839,CrabInnTofino,cobble,june 19 2012,2.255068882,outer_coast
18735,MotelTofino,bench,Aug 30 2012,3.203306411,outer_coast
18616,MotelTofino,bench,june 19 2012,3.182667885,outer_coast
18177,MotelTofino,boulder,june 19 2012,3.112834552,outer_coast
17383,MotelTofino,cobble,Aug 30 2012,2.993973078,outer_coast
17654,MotelTofino,cobble,june 19 2012,3.040167885,outer_coast
8182,EaglecoveGI,bench,june 21 2012,1.695414965,gulf_islands
900,EaglecoveGI,cobble,june 21 2012,0.566248298,gulf_islands
19250,EagleCoveGI,bench,Aug 29 2012,2.911011582,gulf_islands
8346,EagleCoveGI,cobble,Aug 29 2012,1.720725868,gulf_islands
18972,RuckleGI,bench,Aug 29 2012,2.875923651,gulf_islands
15045,RuckleGI,bench,june 21 2012,2.498781333,gulf_islands
18110,SheepfarmGI1,bench,june 21 2012,2.771082777,gulf_islands
5351,SheepfarmGI2,bench,june 21 2012,1.267210911,gulf_islands
708,SheepfarmGI3,cobble,june 21 2012,0.490710759,gulf_islands
10098,SookesGI,bench,june 21 2012,1.980602967,gulf_islands
1401,SookesGI,cobble,june 21 2012,0.692269634,gulf_islands
6549,SookesGI1,cobble,Aug 29 2012,1.450313827,gulf_islands
19154,SookesGI2,bench,Aug 29 2012,2.896547292,gulf_islands
16540,WelburyGI,bench,Aug 29 2012,2.622559078,gulf_islands
18045,WelburyGI,bench,june 21 2012,2.760292238,gulf_islands
8912,WelburyGI,cobble,Aug 29 2012,1.813559078,gulf_islands
13099,WelburyGI,cobble,june 21 2012,2.348982714,gulf_islands
18402,28thVan,bench,Aug 20 2012,3.897045717,vancouver
18383,28thVan,bench,june 22 2012,3.894604389,vancouver
13205,28thVan,cobble,Aug 20 2012,3.300530566,vancouver
12712,28thVan,cobble,june 22 2012,3.226937722,vancouver
17469,CaulfieldCoveVan,bench,Aug 20 2012,3.77715224,vancouver
17718,CaulfieldCoveVan,bench,june 22 2012,3.811498332,vancouver
12445,CaulfieldCoveVan,cobble,Aug 20 2012,3.18965224,vancouver
12930,CaulfieldCoveVan,cobble,june 22 2012,3.259050779,vancouver
19023,CopperCoveVan,bench,Aug 20 2012,3.963742609,vancouver
18233,CopperCoveVan,bench,june 22 2012,3.872169765,vancouver
11415,CopperCoveVan,cobble,Aug 20 2012,3.032909276,vancouver
12411,CopperCoveVan,cobble,june 22 2012,3.185503099,vancouver
17360,WhytecliffVan,bench,Aug 20 2012,3.76069105,vancouver
18041,WhytecliffVan,bench,june 22 2012,3.84457886,vancouver
9525,WhytecliffVan,cobble,Aug 20 2012,2.68319105,vancouver
9632,WhytecliffVan,cobble,june 22 2012,2.706364574,vancouver
