substrate,site_rename,region,hours_emersed,mean,max,ks_q2.5,ks_q97.5
bench,28th,Vancouver,11.046602182539683,26.46177370030581,44.5,15,37.5
bench,bamfield,Outer Coast,10.39422123015873,NA,NA,NA,NA
bench,biosphere,Outer Coast,10.854073660714286,NA,NA,NA,NA
bench,caulfield,Vancouver,10.63675,28.841280653950953,45.5,14.5,42
bench,copper,Vancouver,11.170729166666666,25.58772727272727,47,15.5,42
bench,crab,Outer Coast,10.730096726190476,22.042095115681235,43,13.5,38
bench,eagle,Gulf Islands,8.013105405254565,23.151666666666667,45,12.5,40.5
bench,ruckle,Gulf Islands,10.08219246031746,NA,NA,NA,NA
bench,sheep,Gulf Islands,8.043683889226285,25.66906474820144,47,13,43
bench,sketchy,Outer Coast,11.320025510204081,21.384383378016086,42,13,36
bench,sooke,Gulf Islands,8.430206292725233,24.269989047097482,46.5,13.5,40
bench,toquart,Outer Coast,10.404095238095238,22.3197715917202,43.5,14.5,37
bench,ukie,Outer Coast,12.057235863095238,18.86411609498681,36.5,13,29.299999999999955
bench,welbury,Gulf Islands,9.758238636363636,21.05925155925156,44.5,12.512500000000001,40
bench,whytecliff,Vancouver,10.547399749373433,25.42233009708738,35.5,15.5,34
cobble,28th,Vancouver,7.873214285714286,27.379759519038075,44,15,41.5
cobble,bamfield,Outer Coast,10.260335497835499,NA,NA,NA,NA
cobble,caulfield,Vancouver,7.6248949579831935,29.0264,50.5,14.5,46.5
cobble,copper,Vancouver,7.1207465277777775,28.109725685785538,51.5,15,47.5
cobble,crab,Outer Coast,7.511128364389235,22.004928315412187,45,13.5,39.0625
cobble,eagle,Gulf Islands,3.9868531523239406,21.690656565656564,47.5,11.5,42
cobble,sheep,Gulf Islands,4.924936855423987,26.739424703891707,47.5,13,44.125
cobble,sketchy,Outer Coast,10.514732142857143,21.54901269393512,42,13,35.5
cobble,sooke,Gulf Islands,3.798269103147772,27.73913043478261,48,13.5,46.19999999999999
cobble,toquart,Outer Coast,9.276810515873017,22.12797619047619,49.5,14.5,39
cobble,ukie,Outer Coast,9.146694624819625,20.031574740207834,45.5,13.5,36.5
cobble,welbury,Gulf Islands,6.209655489548202,23.689967982924227,46.5,13.200000000000001,42
cobble,whytecliff,Vancouver,5.677627932766821,27.579710144927535,45.5,15,41.5
