obs_id,minute,hours_emersed,date,time_sample,region,site,substrate,replicate,upperlimit,treatment,laser_mllw,height_above_mllw,max_tide_height,max_tide_height_m,x_max_tide_height,tide_site
118,496.64285714285717,8.277380952380954,Aug 29 2012,2,gulfislands,WelburyGI,bench,3,1.07,2,3.546559078,2.476559078,367.8936,3.678936,0.673172645,ganges
119,612.8392857142857,10.213988095238095,Aug 29 2012,2,gulfislands,WelburyGI,bench,4,0.81,1,3.546559078,2.736559078,367.8936,3.678936,0.743845252,ganges
12,620.5714285714286,10.342857142857143,june 21 2012,1,gulfislands,RuckleGI,bench,12,1.76,1,4.451281333,2.691281333,361.4928,3.614928,0.744490992,fulford
120,546.1785714285714,9.102976190476191,Aug 29 2012,2,gulfislands,WelburyGI,bench,5,0.96,2,3.546559078,2.586559078,367.8936,3.678936,0.703072594,ganges
121,612.8392857142857,10.213988095238095,Aug 29 2012,2,gulfislands,WelburyGI,bench,6,0.81,2,3.546559078,2.736559078,367.8936,3.678936,0.743845252,ganges
122,652.375,10.872916666666667,Aug 29 2012,2,gulfislands,WelburyGI,bench,7,0.68,1,3.546559078,2.866559078,367.8936,3.678936,0.779181556,ganges
123,669.1785714285714,11.15297619047619,Aug 29 2012,2,gulfislands,WelburyGI,bench,8,0.63,2,3.546559078,2.916559078,367.8936,3.678936,0.792772442,ganges
124,600.3214285714286,10.005357142857143,Aug 29 2012,2,gulfislands,WelburyGI,bench,9,0.84,2,3.546559078,2.706559078,367.8936,3.678936,0.735690721,ganges
125,527.3571428571429,8.789285714285715,Aug 29 2012,2,gulfislands,WelburyGI,bench,10,1,2,3.546559078,2.546559078,367.8936,3.678936,0.692199885,ganges
126,295.625,4.927083333333333,Aug 29 2012,2,gulfislands,SookesGI1,cobble,1,1.29,1,2.850313827,1.560313827,361.4928,3.614928,0.431630679,fulford
127,303.0208333333333,5.050347222222222,Aug 29 2012,2,gulfislands,SookesGI1,cobble,2,1.26,2,2.850313827,1.590313827,361.4928,3.614928,0.439929599,fulford
128,287.30434782608694,4.788405797101449,Aug 29 2012,2,gulfislands,SookesGI1,cobble,3,1.37,1,2.850313827,1.480313827,361.4928,3.614928,0.409500224,fulford
129,300.0408163265306,5.000680272108843,Aug 29 2012,2,gulfislands,SookesGI1,cobble,4,1.25,1,2.850313827,1.600313827,361.4928,3.614928,0.442695906,fulford
13,625.4642857142857,10.42440476190476,june 21 2012,1,gulfislands,SheepfarmGI1,bench,1,1.3,1,4.006638333,2.706638333,361.4928,3.614928,0.74873921,fulford
130,290.375,4.839583333333334,Aug 29 2012,2,gulfislands,SookesGI1,cobble,5,1.31,1,2.850313827,1.540313827,361.4928,3.614928,0.426098065,fulford
131,289.7173913043478,4.828623188405797,Aug 29 2012,2,gulfislands,SookesGI1,cobble,6,1.36,1,2.850313827,1.490313827,361.4928,3.614928,0.412266531,fulford
132,275.69565217391306,4.594927536231884,Aug 29 2012,2,gulfislands,SookesGI1,cobble,7,1.42,2,2.850313827,1.430313827,361.4928,3.614928,0.39566869,fulford
133,283.5,4.725,Aug 29 2012,2,gulfislands,SookesGI1,cobble,8,1.44,1,2.850313827,1.410313827,361.4928,3.614928,0.390136077,fulford
134,263.8863636363636,4.39810606060606,Aug 29 2012,2,gulfislands,SookesGI1,cobble,9,1.52,2,2.850313827,1.330313827,361.4928,3.614928,0.368005622,fulford
135,273.97727272727275,4.566287878787879,Aug 29 2012,2,gulfislands,SookesGI1,cobble,10,1.48,2,2.850313827,1.370313827,361.4928,3.614928,0.379070849,fulford
136,255.38636363636363,4.256439393939393,Aug 29 2012,2,gulfislands,SookesGI1,cobble,11,1.55,2,2.850313827,1.300313827,361.4928,3.614928,0.359706702,fulford
137,255.38636363636363,4.256439393939393,Aug 29 2012,2,gulfislands,SookesGI1,cobble,12,1.55,2,2.850313827,1.300313827,361.4928,3.614928,0.359706702,fulford
138,698.75,11.645833333333334,Aug 29 2012,2,gulfislands,SookesGI2,bench,1,0.55,2,3.503547292,2.953547292,361.4928,3.614928,0.817041803,fulford
